Project URL,Project Code,Title,Project General Description,Project Appraisal Report Link,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-BF-AA0-032,P-BF-AA0-032,"Burkina Faso - Integrated Maize, Soybean, Poultry and Fish Chain Development and Resilience Building Project","The proposed operation is a UA 9.76 million ADF loan, a UA 18.24 million ADF grant and a USD 4.00 million ADRiFi MDTF grant (UA 3.03 million) to Burkina Faso to finance the Integrated Maize, Soya bean, Poultry and Fish Value Chain Development and Resilience Building Project (PIMSAR). The project complements another Bank project under consideration, the Integrated Livestock Value Chain Development Project (PDCVIE) which aims to improve livestock production through the development and integration of meat product value chains. The PDCVIE will cover the same project impact areas as PIMSAR and will build on the ecosystem to increase the productivity and production of the livestock introduced by the latter project for better synergy. PIMSAR will also complement the Emergency Project for Increasing Agricultural Production in Burkina Faso (PURPA-BF) under consideration which aims to contribute to increasing maize, rice, soya bean, cowpea, sorghum and wheat production to strengthen the people’s food security in the face of the impacts of the war in Ukraine. PIMSAR will rely on the production tools already put in place by PURPA (training and organization of actors, support to the seed industry, improvement of production tools, etc.). In addition, the increase in maize and soybean production will contribute to a better coverage of animal feed needs, which remains one of the objectives of PIMSAR. The total project cost during the five-year implementation period, including provisions for price escalation and physical contingencies, net of customs duties and taxes, is estimated at UA 41.59 million or about USD 54.90 million.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fburkina_faso_-_integrated_maize_soybean_poultry_and_fish_value_chain_development_and_resilience_building_project_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",28000000,Burkina Faso,44911,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-SZ-A00-006,P-SZ-A00-006,"Eswatini - Mkhondvo-Ngwavuma Water Augmentation Program, Phase I, Part B (MNWAP-1B)","The Mkhondvo – Ngwavuma Water Augmentation Program (MNWAP) is, thus, a strategic development aimed at the attainment of the country’s economic development goals by empowering subsistence farmers on Swazi Nation Land (SNL) to convert into commercial irrigated agriculture through the provision of water infrastructure and capacity building. MNWAP will be implemented over three phases, where the first part of Phase I (MNWAP-1A) was approved for financing by the Bank in December 2021 and the second part of Phase I (MNWAP-1B) reported here. The Program will help reduce the impact of climate change as well as job creation leading to economic development. Phase 1 (part A & B) of the project entails the construction of the Mpakeni Dam (approved in 2021) and the downstream development of 4,600 hectares of cotton that will be processed for a vertically integrated textile industry (raw cotton to garments and oil). The total MNWAP-1B project cost is ZAR3,949.5 million.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Feswatini_-_mkhondvo_ngwavuna_water_augmentation_program_final_-_project_appraisal_report_1.pdf#page=1&zoom=auto,-13,848",91512155.29,Eswatini,44911,Approved,African Development Bank,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-SN-AAE-004,P-SN-AAE-004,Senegal - National Integrated Livestock Development Programme - Phase 1 (PNDIES-P1),"The National Integrated Livestock Development Programme in Senegal -Phase 1 (PNDIES-P1) catalyses other operations being implemented by the Bank (Agro-Industrial Processing Zones, PZTA/Agropoles, PROVALE CV) and other Technical and Financial Partners including World Bank (PRAPS project), IsDB (PDEPS-SN project) and IFAD (PADAER 2 Project). Specifically, the project will identify and implement the necessary synergies with projects in the agro-industrial processing zones, particularly the PZTA-North, whose livestock sector will be given priority. The operating strategy of PNDIES-P1 is based on increasing the numerical (quantitative) productivity and weight yields of herds and flocks which will be reflected in higher levels of production that will strengthen the targeted value chains including the processing of, and market access for animal products. PNDIES-P1 is organised around the following three components: (i) Productivity and animal production; (ii) processing, marketing of animal products and professionalisation of actors; and (iii) project coordination and management. The total project cost is estimated at EUR 78.60 million (XOF 51.56 billion), net of taxes and customs duties.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fsenegal_-_national_integrated_livestock_development_programme_-_phase_1_pndies-p1_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",31366977.68,Senegal,44911,Approved,African Development Bank,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-ML-AA0-041,P-ML-AA0-041,Mali - Emergency Food & Nutrition Security and Production Project (PUPSAN/AEFPF),"The Emergency Food and Nutrition Security and Production Project (PUPSAN-AEFPF) is designed because of the multidimensional crisis since 2012 and especially the 2020-2021 agricultural season, which has been difficult because of insufficient rainfall that is poorly distributed over time and space, as well as the COVID-19 crisis. In response to this situation, the Government, acting through the Food Security Commission, developed a National Response Plan 2022 (NRP 2022) which is the annual breakdown of all actions to promote food and nutritional security in the country. In fact, through the PUPSAN project, the Bank will provide financing to strengthen the significant impacts on the resilience of vulnerable populations, with a view to supporting the crop production sector by strengthening productivity gains, through the mastery of climate-resilient techniques, the provision of plant material and other appropriate agricultural inputs. The Bank's support will increase the availability of foodstuff needed to cover the food and nutritional needs of the Malian population, create value added in the project areas, generate substantial additional income for producers and other stakeholders in the targeted sectors, improve the balance of trade and reduce Mali's dependence on imports of these targeted products. The project will also contribute to strengthening the resilience of the population by improving the employability of the youth and women in the targeted sectors. It will be based on three components, namely: (i) improving access to improved seeds and adapted technologies, (ii) facilitating producers' access to quality fertilizers, (iii) improving governance, supporting the implementation of reforms in the seed and fertilizer sectors, and project coordination and management.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fmali_-_emergency_food_nutrition_security_and_production_project_pupsan-aefpf_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,798",5500000,Mali,44911,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-GW-A00-010,P-GW-A00-010,Guinea-Bissau - Emergency Food Security Support Project (AEFPF),"This operation, financed through a TSF grant (Pillar 1) of UA 5 million, will provide 46,635 vulnerable households (at least 50% women) with: (i) 1,253 tonnes of certified climate-resilient cereal seeds, 364 kg of certified vegetable seeds, 520 tonnes of cassava, yam, and cocoyam cuttings, and 5,000 ml of sweet potato cords; (ii) 1,350 tonnes of fertilisers (NPK and urea) and 1,832 litres of insecticides; and (iii) support for poultry production. The proposed investments will allow for the sowing of about 32,096 ha of land and generate additional agricultural production of 37,335 tonnes, including 1,519 tonnes of market garden produce. Furthermore, an annual production of 5,400 fertile eggs and 4,000 broilers is also expected. The Emergency Food Security Support Project will provide farmers with certified climate-resilient seeds, fertilisers, and tailor-made advisory support. As such, it is an appropriate short and medium-term response to build farmer resilience by improving agricultural productivity and production.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fguinea-bissau_-_emergency_food_security_support_project_aefpf_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",5000000,Guinea-Bissau,44910,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-ML-AA0-037,P-ML-AA0-037,Mali - Grassroots Community Resilience Building Support Project (PARCB),"This intervention concerns Grassroots Community Resilience Building Support Project (PARCB). It aims to contribute to community resilience building by improving the employability of young people and women in climate-resilient and low-carbon agricultural value chains in Koulikoro region and Yanfolila   Circle. The project will also help to create an entrepreneurial ecosystem and support infrastructure for the Bancoumana-based agro-industrial pole of PDZSTA-KB (Project to Develop the Special Agro-industrial Processing Zone at Koulikoro and peri-urban areas of Bamako) and consolidate the achievements of PRESAN-KL and PRESA-DCI through the implementation of activities that were cancelled by the Bank after project restructuring. PARCB is also complementary with PAURPED (Emergency Support for the Resilience of Displaced Persons) and P2 P2RS MALI (Programme to Build Resilience to Food and Nutrition Insecurity in the Sahel - Phase 2), which are being assessed in terms of their intervention areas and target populations. It comprises three main components, namely: (1) Development of production, processing and marketing infrastructure, (2) Resilience building through entrepreneurship and climate-resilient agricultural value chain development and (3) project management and coordination.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fmali_-_grassroots_community_resilience_building_support_project_parcb_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",41300000,Mali,44908,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-SD-AAB-005,P-SD-AAB-005,Sudan - Emergency Wheat Production Project (SEWPP),"This intervention concerns Emergency Wheat Production Project (SEWPP). It aims to scale up wheat production and productivity in Sudan to mitigate the impact of the Russia's Invasion of Ukraineon food security and help Sudan achieve self-sufficiency in wheat production in the medium term and become an exporter in the long-term. With large scale delivery of certified quality seeds of climate-adapted varieties, fertilizers, and extension services, the project is expected to boost the wheat production from the current 630,000 tons to 1.52 million tons in two years. Its outcomes will be achieved by (i) large scale delivery of certified quality seeds of climate-adapted varieties, fertilizers, and extension services; (ii) Financing Fertilizer Availability and Affordability; (iii) leveraging digital technologies for the delivery of smart subsidies of certified seeds and fertilizers to ensure transparency and inclusion, especially for youth and women; (iv) strengthening extension services to promote grood agronomic practices, greater fertilizer use efficiency and reduction of postharvest losses; and (v) supporting policy actions and commitments and institutional strengthening to address the structural factors that prevent modern inputs from reaching farmers. The project has four main components, namely: (i) increasing wheat production, productivity and marketing; (ii) financing fertiliser availability and accessibility; (iii) supporting policy reforms and institutional strengthening and (iv) project coordination and management.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fsudan_-_emergency_wheat_production_project_sewpp_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",56780000,Sudan,44904,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-BF-AA0-037,P-BF-AA0-037,Burkina Faso - Emergency Project for Increasing Agricultural Production in Burkina Faso (PURPA-BF)  - (AEFPF),"The proposed intervention is a TSF Pillar I Grant not exceeding UA 13.294 million and a TSF Pillar I Loan not exceeding UA 16.306 million to the Republic of Burkina Faso from the unallocated resources under Pillar I of the Transition Support Facility (TSF), to assist the population affected by soaring prices and declining production. This is a national investment operation in response to The poor performance of the 2021 crop year, which has led to a food crisis that has been exacerbated by the effects of COVID-19 and Russia’s invasion of Ukraine on input and food prices. The project therefore intends to offset this vicious circle by making huge investments to improve the availability (procurement), accessibility (subsidy and distribution) and use (advisory support) of inputs. Its implementation will help to reduce food shortages on six major crops: maize, rice, soybean, sorghum, wheat and cowpea. Besides specific responses, the project will support structural reforms to improve sector governance and the functioning of value chains.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fburkina_faso_-_emergency_project_for_increasing_agricultural_production_in_burkina_faso_purpa-bf_aefpf_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",29600000,Burkina Faso,44903,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-MG-A00-014,P-MG-A00-014,Madagascar - Additional Financing For The African Disaster Risk Financing Programme (ADRIFI),"This additional financing for the ADRiFi Programme in Madagascar is an emergency Bank support to the Government of Madagascar following the tropical storms and cyclones that harshly hit the country during the first quarter of 2022, and caused damage in almost all sectors (housing, education, health, infrastructure (administrative, road, railway, irrigation, energy) etc.). The additional financing will consolidate the achievements of the first phase of the ADRiFi Programme in Madagascar and safeguard the Bank's investments in areas affected by tropical storms and cyclones. The Bank’s financial support to post-cyclone recovery will be provided through additional financing of UA 10 million for the ADRiFi Programme in Madagascar for the second phase of the programme from December 2023 to March 2026. The funding will be a hybrid loan and grant from Pillar 1 of the Transition Support Facility (TSF). The TSF loan will be invested in three (3) core components: (i) Development of climate risk management solutions; (ii) Rehabilitation and post-disaster reconstruction activities; and (iii) Programme management, coordination, and implementation of the Gender Action Plan. The TSF grant will be invested in two (2) components: (iv) Support for access to risk transfer mechanisms; and (v) Emergency activities and post-cyclone recovery.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fmadagascar_-_african_disaster_risk_financing_programme_adrifi_-_additional_financing_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",10000000,Madagascar,44900,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-GH-A00-012,P-GH-A00-012,Ghana - Savannah Agriculture Value Chain Development Project (SADP),"The Savannah Agriculture Value Chain Development Project (SADP) aims to ensure national food and nutrition security, create employment and contribute to industrialization. The project is expected to contribute to the Government’s industrialization agenda, support PFJ and RFJ, skills development and entrepreneurship for women and youth, and build resilient food systems in the savannah areas of northern and middle belts of Ghana. The proposed project will have three components namely (i) Climate-resilient Production Development, (ii) Sustainable Value Chain Development, and (iii) Project Management.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fghana_-_savannah_agriculture_value_chain_development_project_sadp_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",21740000,Ghana,44886,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
