ID,Title,Country,,Type,Status,,Approval Date,Committment Amount,,Sector,Subsector,Category,Indigenous Peoples Category,Category,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,Summary
53243-001,Community-Based Tourism COVID-19 Recovery Project,Cambodia,Sovereign,Grant,Approved,9226,1/26/2022,0,Nation-wide,"Agriculture, natural resources and rural development | Industry and trade",Agricultural production | Rural sanitation | Small and medium enterprise development,B,C,C,Southeast Asia Department,Civil Society Alliance Forum,"Leung, Leonard H.",The proposed Community-Based Tourism COVID-19 Recovery Project will preserve and promote cultural resources in Cambodia's rural communities through community-based tourism. The project will (i) strengthen local capacity for community-based tourism development and promotion; (ii) support new and existing tourism and livelihood activities; and (iii) enhance community-based public facilities and services.
49372-002,Greater Thal Canal Irrigation Project,Pakistan,Sovereign,Loan,Approved,4167,12/13/2021,"200,000,000.00",Punjab,"Agriculture, natural resources and rural development","Agricultural production | Irrigation | Rural water policy, institutional and capacity development",A,C,A,Central and West Asia Department,Irrigation Department of the Government of Punjab,"Totsuka, Natsuko","The project will support the construction of the Choubara branch system of the Greater Thal Canal irrigation scheme covering around 119,000 hectares. The project will also support on-farm command area development (CAD) for the Main Canal, Mankera and Choubara branch areas and capacity development of the government entities and water users for efficient water uses and management, improved agricultural practices and sustainability of infrastructure. The Main Canal and the Mankera branch system covering about 144,000 hectares of command areas have been constructed by the Government in 2009."
51384-001,Guangxi Hezhou Environment Restoration and Sustainable Development Project,"China, People's Republic of",Sovereign,Loan,Approved,4140,11/12/2021,"100,000,000.00",Hezhou Shi,"Agriculture, natural resources and rural development | Education | Health | Public sector management",Land-based natural resources management | Water-based natural resources management | Non-formal education - social protection initiatives | Technical and vocational education and training | Health sector development and reform | Health system development | Public administration,A,B,B,East Asia Department,Hezhou Municipal Government,"Maruyama, Hinako","The project will help Hezhou (i) reduce pollution in and improve the environment of the former mineral mining area; (ii) provide essential and inclusive social services; and (iii) strengthen institutions to make former mineral mining workers' living areas in Hezhou green, inclusive, healthy, and sustainable."
53118-001,Livable Cities Investment Project for Balanced Development,Georgia,Sovereign,Loan,Approved,4134,11/10/2021,"119,900,000.00","Nation-wide, Kakheti","Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services","Rural market infrastructure | Urban public transport | Urban roads and traffic management | Other urban services | Renovation and protection of cultural heritage | Urban policy, institutional and capacity development",B,C,B,Central and West Asia Department,Ministry of Regional Development and Infrastructure of Georgia,"Naik Singru, Ramola","Georgia is located at the crossroads of Europe and Asia, rich in natural resources and cultural heritage. Despite these comparative advantages, the country needs to overcome substantial infrastructure, urban services, and capacity gaps to unlock its economic growth potential. Although Georgia is an upper middle-income country, 20.1% of the population still lives below the poverty line. Economic growth has been unevenly distributed between Tbilisi and the regions. Georgia has a population of 3.7 million people (of which 1.9 million are women), with about 59% living in urban areas. More than 30% of the population lives in Tbilisi, which accounted for 52% of the country's gross domestic product (GDP) in 2019. The total population of Georgia has been declining steadily from 4.12 million in 2000 to 3.72 million in 2020. The population in Tbilisi increased from 1,100,000 to 1,184,800 from 2010 to 2020, while the populations declined during the same period in the regions - from 369,800 to 310,000 in Kakheti, and from 413,200 to 311,100 in Samegrelo-Zemo Svaneti. The reverse demographic highlights issues such as out-migration, limited job opportunities, and poor quality of life in the regions."
53049-001,Jiangxi Ganzhou Rural Vitalization and Comprehensive Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Active,4136,10/29/2021,"200,000,000.00",Nation-wide,"Agriculture, natural resources and rural development",Land-based natural resources management | Rural flood protection | Rural sanitation | Rural solid waste management | Water-based natural resources management,B,B,B,East Asia Department,Ganzhou Municipal Government,"Yang, Xiaoyan","The Yangtze River Economic Belt (YREB) is one of the three key economic growth engines in the People's Republic of China (PRC). Its nine provinces and two specially administered municipalities account for over 40% of the population, 40% of freshwater resources, and about 45% of the country's economic output. While the YREB has benefited from extensive development since the 1980s, economic growth in the middle and upper reaches of the Yangtze River Basin lags that of the coastal areas. These parts of the YREB still face significant challenges as a result of (i) weak institutional coordination for strategic planning; (ii) increasing pollution and pressure on natural resources; (iii) slow transformation into green development; and (iv) limited integration of waterways, ports, and intermodal logistics. To manage these challenges, the Government of the PRC formulated the YREB development plan 2016 2030. The Asian Development Bank (ADB) and the government have agreed to adopt a framework approach. Priority is given to: (i) institutional strengthening and policy reform; (ii) ecosystem restoration, environmental protection, and management of water resources; (iii) inclusive green industrial transformation; and (iv) construction of an integrated multimodal transport corridor."
51422-002,Sustainable Tourism Development Project (Phase 2),Mongolia,Sovereign,Grant | Loan,Approved,4131 | 9224,10/26/2021,"30,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Industry and trade | Water and other urban infrastructure and services",Land-based natural resources management | Rural sanitation | Rural solid waste management | Water-based natural resources management | Trade and services | Renovation and protection of cultural heritage,B,C,C,East Asia Department,Ministry of Environment and Tourism,"Bezuijen, Mark R.","The project will support the development of tourism in three aimags (provinces) of western Mongolia an area of national priority for economic development focused on inclusive benefits for communities, nature-based solutions to protect wilderness and heritage values, and post-coronavirus disease (COVID-19) recovery and resilience. The project will build the capacity of residents and a small but growing private sector for community-based tourism, create jobs through the establishment of tourist streets and visitor complexes, and strengthen the management of five globally important protected areas and heritage sites through improved visitor and sanitation facilities. The designs are based on post-COVID-19 tourism recovery projections, sanitation measures aligned with health and border procedures, and building standards for green and climate-resilient infrastructure. About 16,296 residents are expected to benefit from the project through tourism-related skills and income."
50050-005,Guangxi Regional Cooperation and Integration Promotion Investment Program - Tranche 3,"China, People's Republic of",Sovereign,Loan,Approved,4122,10/1/2021,"140,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Industry and trade","Agro-industry, marketing, and trade | Industry and trade sector development | Small and medium enterprise development | Trade and services",B,B,B,East Asia Department,"Government of Guangxi Zhuang Autonomous Region, through Guangxi Foreign Loans Project Management Office","Xia, Heng","The Asian Development Bank (ADB) and the People's Republic of China (PRC) signed a framework financing agreement for the Guangxi Regional Cooperation and Integration Promotion Investment Program (GRIP) on 15 October 2016. Under the program, a roadmap was developed to help the Guangxi Zhuang Autonomous Region (GZAR) and Viet Nam capture regional cooperation and integration benefits in their border areas through small and medium-sized enterprise (SME) support enhancement, cross-border financial transaction and investment promotion, cross-border e-commerce platforms development, border economic zone (BEZ) infrastructure construction, and policy coordination improvement. On 1 December 2016, ADB approved the provision of a $450 million multitranche financing facility (MFF) to the PRC for the GRIP to be implemented through three tranches from 2017-2024. Tranche 1 amounting to $130 million of ADB financing was approved on 12 December 2016 with the current loan closing date of 30 June 2022. Tranche 2 of $180 million was approved on 4 April 2018 with the current loan closing date of 30 November 2023. 
The Government of the PRC submitted a request for a loan up to $140 million from ADB's ordinary capital resources for tranche 3 on 6 August 2021. Tranche 3 of the MFF will align with the program strategic roadmap to support (i) SME development in the border areas through vocational training capacity enhancement and expansion of the Sino-ASEAN Agricultural Products Trade Center in Baise City, (ii) integrated cross-border e-commerce platforms development for the PRC and Viet Nam, (iii) provision of key infrastructure and trade-related services in BEZs, and (iv) physical and informational connectivity and policy coordination through development of the Sino-Viet Nam Cross-Border Tourism Cooperation Zone in Chongzuo City.
"
45207-006,Irrigation Management Improvement Project - Additional Financing,Bangladesh,Sovereign,Loan,Approved,4120,9/30/2021,"13,500,000.00",Nation-wide,"Agriculture, natural resources and rural development",Irrigation,C,C,C,South Asia Department,Bangladesh Water Development Board,"Srivastava, Pushkar","The proposed additional financing will cover cost overruns of the ongoing project. The ongoing project is modernizing the Muhuri Irrigation Project in Feni district in Chattogram division and strengthening the capacity of Bangladesh to improve national practices on sustainable management, operation, and maintenance (MOM) of its large-scale irrigation schemes. The project is critical from a climate change adaptation perspective as it significantly increases flood risk protection for productive land and assures irrigation water supply during lean periods. While introducing innovative infrastructure modernization, it also aims to foster private sector participation in water sector by transferring MOM responsibilities from government departments to private operators"
44167-015,Flood and Riverbank Erosion Risk Management Investment Program - Tranche 2,Bangladesh,Sovereign,Grant | Loan,Approved,0799 | 4107,9/6/2021,"157,000,000.00","Chauhali, Enayetpur, Harirampur","Agriculture, natural resources and rural development","Rural flood protection | Rural water policy, institutional and capacity development",A,C,A,South Asia Department,Bangladesh Water Development Board,"Drieu, Olivier","The multitranche financing facility (MFF) to the People's Republic of Bangladesh for the Flood and Riverbank Erosion Risk Management Investment Program was approved in 2014 to improve the livelihoods in the project area along the Jamuna, Padma, and Ganges rivers in central Bangladesh. It will reduce flood and riverbank erosion risks in priority erosion reaches through structural and nonstructural interventions, and institutional and knowledge-based strengthening. It will implement three subprojects comprising climate-resilient flood embankments protecting critical riparian productive areas in central Bangladesh and capacity building initiatives. It will extend successful riverbank protection technologies of the ADB-financed Jamuna-Meghna River Erosion Mitigation Project to other areas, with necessary improvements. 
At the government's request the originally envisaged Tranches 2 and 3 of the MFF will be combined into a single and final tranche (Tranche 2). Tranche 2 will be a continuation of the works carried out under Tranche 1 and will build upon the achievements of Tranche 1.
"
49026-004,Climate Resilient Inclusive Infrastructure for Ethnic Minorities Project I,Viet Nam,Sovereign,Grant | Loan,Approved,0798 | 4100 | 4103,8/25/2021,"58,000,000.00","Tinh Binh Dinh, Tinh Quang Nam","Agriculture, natural resources and rural development | Transport",Irrigation | Rural flood protection | Rural water supply services | Water-based natural resources management | Road transport (non-urban),B,B,B,Southeast Asia Department,Binh Dinh Provincial People's Committee,"Dina, Stefania","The project is aligned with the following impact: inclusive socioeconomic development of Binh Dinh and Quang Nam provinces accelerated. The project will have the following outcome: social and economic status and inclusiveness of ethnic minorities communities improved. 
Output 1: Transport infrastructure improved. The project will upgrade seven district and commune roads totaling about 121.8 km, which will improve connectivity and mobility of EMCs within seven districts with a total population of 206,700 of which an average of 48% belong to EMCs. The climate-resilient transport links will integrate remote rural production into market chains and processing facilities. Freight movement of acacia and high value crops will be improved. The effort of EMCs to dependably reach essential services including health, education, and markets will be reduced. The overall transport network will be much more efficient, reducing travel time for road users and especially improving access to health, education, and market services especially for women who already suffer from time poverty.
Output 2: Water resource infrastructure improved. This output will benefit about 36,300 people through the construction, upgrade, rehabilitation, or stabilization of: (i) RDWSs to provide water to approximately 18,600 people through 115 km of piped networks; (ii) an existing reservoir to support 117 ha of irrigation command area with more reliable and efficient water supply; and (iii) cultural tourism infrastructure including one river defense - 3.6 km of embankment, visitor car parking and solid waste collection in district's communities with a total population of 17,700 of which 94% are from EMCs. Activities under this output will improve communities' health by reducing the risk of water borne diseases and will particularly benefit women by reducing their time for water collection.
Output 3: Data systems for climate risk management updated. This output will provide improved access to reliable weather and climate data, in a timely and cost-effective manner, to user agencies to inform a wide range of decisions including design of climate resilient infrastructure, strengthened early warning systems, and improved disaster response. High level online technology will be employed to improve the capacity of existing data and client interfaces managed by the provincial government, to collect, archive, and share data.
"
