project title,Project Code (GAFSP),Project ID (World Bank),Project Symbol (FAO),Project Number (ADB),GRIPs ID (IFAD),AfDB,Reference Number (WFP),country,project status,funding,supervising entity,call year,Project amount,Commitment amount,environmental category,summary,,,,,,,,,,,,,,,,
West Africa Food System Resilience Program (FSRP) ,PIDASAN,P178132,,,,,,Burkina Faso,Active,Public,World Bank,2017,"26,530 million",24 million,agriculture,"Challenge
Multiple shocks across West Africa, largely induced by agricultural risks, have made food scarcer and more expensive and have increased malnutrition. In 2021, approximately 27 million West Africans needed immediate food assistance due to a combination of drought, poverty, high cereal prices, environmental degradation, displacement, poor trade integration, and conflict. Sobering predictions of more-frequent extreme weather events, coupled with agricultural productivity that is not keeping pace with population growth, means long-term sustainable development is under threat.
Solution
FSRP supports the second phase of Burkina Faso’s National Rural Sector Program, targeting 125 communes in nine regions, chosen for their high agricultural potential and relatively favorable climate conditions, impacting an estimated 300,000 poor people, including 120,000 women and 30,000 youth. Increasing agricultural productivity by adopting improved agricultural technologies, such as drought- and pest-resistant seed varieties, composting and erosion-control techniques, and livestock and poultry feeding technologies, will increase feed production and crop yields. Interventions also aim to improve the crops’ and vegetables’ nutritional quality, providing marketing assistance, empowering rural farmers to use various technologies that reduce livestock and feed expenditures while improving the quality of food and dietary intake, and creating jobs.",,,,,,,,,,,,,,,,
Agricultural Growth Project II (AGP-II),AGP-II,P148591,GCP/ETH/096/GAF,,,,,Ethiopia,Active,Public,"FAO , World Bank",2017,581.8 million,55.3 million,agriculture,"Solution
AGP’s second phase aims to sustainably increase agricultural production and productivity of selected crop and livestock commodities by establishing market linkages, accelerating commercialization, increasing access to agricultural public services, building smallholder farmer capacity in efficient water and crop management to adopt and implement climate change mitigation and adaptation measures, and improving dietary diversification for better health. AGP-II expands on AGP’s approaches by establishing a capacity development support facility to consistently expand private sector participation in SSI work. The project received additional funding from GAFSP to support responses to impacts from the COVID-19 pandemic.",,,,,,,,,,,,,,,,
Technological Innovation for Agroforestry and Agriculture Program (PITAG),PTTA II,,,,,,,Haiti,Active,Public,IDB,2017,75 million,20 million,agriculture,"Challenge
In Haiti, agriculture contributes about 22% of GDP, accounting for around 50% of overall employment, 66% of employment in rural areas, and 75% of employment in low-income households. Agri-producers typically use outdated and ineffective planting materials and soil conservation and pest management techniques, and hardware is limited to hand tools, resulting in low farm income levels, land degradation, increased vulnerability of farmers to natural hazards, and food insecurity.
Solution
PITAG is building on the accomplishments of the Small Farmer Agriculture Technology Transfer Project (PTTA) and similar programs in Haiti to increase agricultural productivity and improve the use of natural capital through the adoption of sustainable technologies. Notably, the project conducts research to increase sustainability in Haiti’s agricultural sector, including to strengthen agricultural research in rice, coffee and cacao, legumes, and roots and tubers; improve small agricultural mechanization through technology adaptation and transfer; create, improve, or adapt sustainable agricultural technologies to enhance the supply of technology available to farmers; and adopt more-profitable, climate smart, and sustainable agricultural technologies to improve farm profitability, generate positive environmental benefits, and facilitate climate change mitigation and adaptation. Agricultural incentives support interested farmers to participate in a series of fairs that match demand and supply for the various technologies. Women are strongly encouraged to apply for incentives during information and awareness-raising meetings.",,,,,,,,,,,,,,,,
Climate-Friendly Agribusiness Value Chain Sector Project in the CDZ (CFAVC),CFAVC,,UTF/MYA/026/MYA,48409-003,,,,Myanmar,Active,Public,"ADB , FAO",2017,,27 million,agriculture,"Challenge
The Government of Myanmar recently formulated the Agriculture Policy (Second Short Term Five Year Agriculture Policies and Plans) with its vision statement for the development of the agriculture sector: an inclusive, competitive, food and nutrition secured and sustainable agricultural system contributing to the socio-economic well-being of farmers and rural people and further development of the national economy. It is estimated that at least 37% of the 51.4 million population live under the poverty line. Myanmar’s stunting rate ranks 106 out of the 132 countries surveyed by UNICEF, and it is among the top ten countries most affected by global climate risk. About 70% of the population in Myanmar resides in rural area and agriculture sector being their main economic activities. Agriculture sector contributes 30% of national GDP, however the land based benefits being obtained by the farmers are extremely low. Farmers in the Central Dry Zone (CDZ) face mounting challenges that threaten the production of key crops, such as insufficient rainfall, shortage of labor, increased foreign competition, and a lack of access to quality seed.
Solution
CFAVC is increasing the climate resilience of critical rural infrastructure, enhancing quality and safety testing capacity, strengthening technical and institutional capacity for climate smart agriculture, and creating an enabling policy environment for climate-friendly agribusinesses to promote environmental sustainability. To facilitate production of improved, climate-resilient seed, the project is upgrading irrigation, farm roads, buildings, farm machinery, post-harvest equipment, seed testing equipment, and agro-meteorological stations in 10 Department of Agriculture seed farms. 
The project also promotes climate smart agriculture and agribusiness by deploying climate-resilient varieties of rice, beans, pulses, and oilseeds and strengthening the capacity of seed growers, agro-dealers, and regional government staff on good agricultural practices. The project is establishing an agricultural digital finance service to train agribusinesses on business plan development, efficient manufacturing practices, and Hazard Analysis Critical Control Points. The project also improves value addition, food quality and safety, and access to inputs, such as climate-resilient seed varieties, quality agrochemicals, and farm mechanization services, to increase off-farm rural livelihood opportunities.",,,,,,,,,,,,,,,,
Food and Nutrition Security through Sustainable Agriculture (FANSA),FANSA,P164319,,,,,,Nepal,Active,Public,World Bank,2017,,not found,agriculture,"Challenge
Nepal’s economy is highly dependent on agriculture, accounting for about one-third of GDP and employing two-thirds of the population. In the selected 14 project districts, an estimated 40–60% of the population is unable to meet the minimum daily caloric intake. The sector is characterized by smallholder, traditional, and substance farming; however, farmers typically have limited use of improved livestock, seeds, crop varieties, or modern practices. They also are hindered by poor irrigation systems and high instances of pests and disease, in addition to a high risk of natural disasters, like floods and drought.
Solution
FANSA enhances climate resilience and improves agricultural productivity and nutrition practices in targeted smallholder farming communities. The project primarily targets vulnerable households, namely those that are earthquake affected, acutely food insecure, disadvantaged, marginalized, and headed by women. The project focuses on crops, such as rice, wheat, maize, finger millet, and potato; and highly nutritious crops, such as buckwheat, pulses, beans, and vegetables; and livestock species of poultry, goats, and cows and has introduced and promoted climate-smart and nutrition-sensitive agriculture practices, providing better-performing plant and animal genetic resources and building farmers’ capacities to improve agronomic and animal husbandry practices.  
 
The project also strengthens producer groups representing the targeted smallholder farmers, providing training around commodities of common interest and enhancing skills and capacities in good governance and leadership, group dynamics, decision-making, problem-solving, and risk management. Provided training addresses bookkeeping, meeting organization, agriculture seasonal planning, marketing, value addition, preparation of simple business plans, and simple monitoring and evaluation. Finally, building on experience gained from GAFSP’s Agriculture and Food Security Project on nutrition interventions, FANSA directly works with communities, including female health community volunteers, using a community-driven, skills-based learning approach known as the Nutrition Field School to remove barriers to improved dietary and care practices by supporting a package of inputs and services complemented by a behavioral change campaign for improved use of foods and hygiene and sanitation practices, while increasing access to public health services.",,,,,,,,,,,,,,,,
"Sustainable Agricultural Intensification for Improved Livelihoods, Food Security and Nutrition Project (SAIP)",SAIP,P164520,,,,,,Rwanda,Active,Public,"FAO , World Bank",2017,,26.3 million,agriculture,"Challenge
Rwanda’s agriculture sector is steadily growing at 5.8% per year. Currently, it accounts for about 33% of GDP, employs about 68% of the labor force, and generates 90% of national food requirements. Around half of the country is covered by hills, and between them are streams and marshlands with 589,711 hectares of irrigation potential, but only 7.5% has been successfully developed to date. Droughts or short heavy rains often cause flash flooding and low productivity, with most rain-fed agricultural production worsened by the impacts of climate change. To sustain cultivation and productivity on such steep slopes, comprehensive climate smart watershed management has become a necessity, not a choice.
Solution
SAIP strengthens the capacities of existing farmer organizations and public extension services; strengthens agricultural value chains; emphasizes post-harvest handling, processing, and marketing systems and linkages with the private sector; and scales up irrigation activities and increases irrigation outreach, thereby increasing the availability and consumption of nutritional foods, diversifying income generation means, and supporting rural financial institutions to provide services. The project focuses on strengthening value chains, including vegetables and fruits for the domestic, regional, and international markets; maize and Irish potato for domestic and regional markets; and beans for domestic markets. To improve nutrition outcomes, the project collaborates with the Government’s National Early Childhood Development Program and community health workers to implement a nutrition social and behavioral change communication (SBCC) strategy, using cooking demonstrations to educate communities on how to attain a balanced and affordable diet.",,,,,,,,,,,,,,,,
Tanzania Initiative for Preventing Aflatoxin Contamination (TANIPAC),TANIPAC,,,,,,,Tanzania,Active,Public,AfDB,2017,,20 million,agriculture,"Solution
Tanzania is a leading producer of maize and groundnuts in the East African region, accounting for 2% of world production. They are the major staple foods, with maize contributing an estimated 35% of the average daily calorie intake and making up nearly half of dietary requirements. More than half of Tanzanians live in rural areas and depend on subsistence agriculture for their livelihoods. However, these crops are highly susceptible to fungal infestation and aflatoxin contamination—the leading cause of liver disease and liver cancer in Tanzania—and reduces the country’s export-earning potential. 
TANIPAC aims to minimize aflatoxin occurrence in the food system, leading to improved food safety and security and ultimately to improved health and nutrition, agricultural productivity, and trade. Through its infrastructure development component, the project will rehabilitate the Ministry of Agriculture’s National Bio-control Unit, establishing a post-harvest center of excellence for grains and a central agriculture reference laboratory for enabling mycotoxin control along the food production and supply chain. The project also carries out public awareness and education on food safety, nutrition, and aflatoxin mitigation. The private sector’s role in monitoring and quality control at all segments of the value chains is important, so the project establishes partnerships with commercial buyers to support advocacy and disseminate new technology on both the mainland and in Zanzibar.",,,,,,,,,,,,,,,,
Inclusion of Rural Youth in Poultry and Aquaculture Value Chains in Mali ,,,,,2000001761,,,Mali,Active,Public,IFAD,2017,,not found,agriculture,"Solution
Across many parts of the Sahel, conflict and violence has intensified just as drought and rising temperatures are undermining food production and agricultural productivity. Land available to pastoralists, who traditionally roam for pasture, is shrinking, leading to conflict. Within this context, young people are increasingly caught between violence and a lack of opportunity for meaningful employment. To help combat this, the project supports rural youth in creating income-generating activities that foster food and nutrition security. 



            Results 
              
As of December 2021, the project has benefitted 1,135 people, of which 38% are women, across 49 producer-based organizations and has involved producer organizations, local banks and microfinance institutions, and other innovative financing arrangements and service providers. The projecthas    enabled 1,135 smallholder farmers to access funds along with extension services. Further, the project has constructed or rehabilitated 20 post-harvest facilities, improving production on 239.25 hectares of land, and has provided 1,025 smallholders with productivity enhancement support; 1,155 people, including 695 women, with improved nutrition services and products; and 1,050 people with access to direct employment, including 732 youth and 325 women. 
  
Additional funding in 2020 for a medium- to long-term response to the COVID-19 pandemic facilitated a workshop on the banking system and youth agricultural entrepreneurship to support rural youth in improving their entrepreneurial capacity. Additional funds supported the creation of four processing units for poultry and fish in areas of high demand, to promote public-private partnerships. The project also strengthened monitoring systems to collect information on the products of rural youth farms, the quantities marketed, and the income generated to allow youth to understand supply and demand and established contracts with health centers for training, support, and nutritional monitoring of youth and their families to better understand and improve beneficial nutrition habits.",,,,,,,,,,,,,,,,
Strengthening Rural Women’s Livelihood for a Sustainable Economic Development in the Eastern Region of Senegal ,,,GCP/SEN/069/GAF,,,,,Senegal,Active,Public,FAO,2017,,not found,agriculture,"Challenge
This Missing Middle Initiative (MMI) pilot project in Tambacounda and Kedougou regions in east Senegal supports two producer organizations, l’Association des producteurs de la vallée du fleuve Gambie (APROVAG) and Yacare Niani Wulli (YNW), to strengthen rural people’s livelihoods for sustainable economic development. The project will increase governance, production and management capacities of smallholder producers; improve women’s participation and bargaining power in key decision-makings in rural areas; reinforce rural entrepreneurship initiatives initiated by women and the youth; increase commercial contracts between the POs and the private sector that benefits each actor and integrate POs’ economic activities in the food value chain; and strengthened financing capacities of smallholder producers through the POs. 
Solution
Bananas are in great demand in Senegal’s cities and provide an income-generating opportunity for smallholder farmers. But, they require a lot of water to grow, so the drought and dry periods farmers regularly face can seriously stress the plants unless irrigation is readily available. When ample healthy banana crops grow, farmers lack disease-free planting materials to harvest them. This project aims to create more-sustainable banana production, thus boosting incomes and livelihoods, through support to producer organizations. In 2020, the project received additional funding for a medium- to long-term responses to the COVID-19 pandemic, used to procure and distribute inputs to banana producers who had suffered losses caused by the restrictive measures during the peak of the pandemic period in 2020 and to strengthen producer organizations’ management information systems and develop their business models for productive investment to improve producer marketing capacity.



            Results
              
As of December 2021, the project has reached 1,685 people, including 979 women, and members of producer organizations. The members of partner producer organization APROVAG have seen increases in thee productivity of their banana plantations as a result of 7,000 renewed vitro plants in genetic material, distributed among producers with improved organic inputs. The project also disseminated two water pumping stations with good agriculture practices. A preliminary assessment shows that 47 producers have resumed their production activities on a 12.5 hectare plot, with yields increasing substantially.",,,,,,,,,,,,,,,,
Improved Rice Paddy Quality and Quality Niébé Processing for Improved Nutrition and Increased Farmer Development in Mali,,,,,,,,Mali,Active,Public,WFP,2017,,not found,agriculture,"Solution
This MMI project seeks to increase production and processing of niébé, a highly nutritious crop that is an important component of the Malian diet. Through quality control, increased mechanization, training, and facilitating access to financial services, the targeted farmers’ organizations are better prepared to provide quality rice and niébé sold by their farmers. Farmer organizations receive support to purchase and use rice production and processing facilities to improve the overall efficiency and effectiveness of rice cultivation. In 2020, the project received additional funding for a medium- to long-term response to the COVID-19 pandemic, which was used to strengthen the capacities of the project’s producer organization partners in marketing and to buy new equipment, specifically by establishing, animating, and monitoring school fields and broadcasting of radio messages on the technical itineraries of good farming practices.",,,,,,,,,,,,,,,,
