Project ID,Status,Country,Region,Year approved,Borrowing entity,Project amount (total),Committment amount,Environmental category,Report,Has summary
2000003370,Approved,Mauritania,,2022,,8.19,5.0,,President's Report,False
2000003903,Approved,Cameroon,,2022,,61.57,46.97,,Project Design Report,False
2000003920,Approved,Democratic Republic of the Congo,,2022,,213.55,45.2,,Project Design Report,True
2000003447,Approved,Ethiopia,,2022,,179.59,78.2,,Project Design Report,False
2000003944,Approved,Zimbabwe,,2022,,66.55,37.14,,Project Design Report,False
2000003989,Approved,Madagascar,,2022,,120.0,83.5,,Project Design Report,False
2000004014,Approved,Mali,,2022,,100.0,39.0,,No report,True
2000003935,Approved,Bhutan,,2022,,30.06,8.93,,Project Design Report,False
2000003908,Approved,Ecuador,,2022,,26.58,20.0,,Project Design Report,False
2000003934,Approved,Rwanda,,2022,,62.89,29.98,,Project Design Report,False
2000003760,Approved,Lao People's Democratic Republic,,2022,,48.3,13.23,,No report,False
2000002694,Approved,Brazil,,2022,,147.5,18.0,,President's Report,True
2000002357,Approved,Bangladesh,,2022,,225.0,42.98,,No report,True
2000002673,Approved,Ghana,,2021,,124.65,52.49,,Project Design Report,False
2000001978,Approved,Kyrgyzstan,,2021,,65.22,31.28,,President's Report,True
2000002253,Approved,Brazil,,2021,,217.83,30.0,,President's Report,True
2000002250,Approved,Guatemala,,2021,,179.0,11.33,,No report,False
2000002335,Signed,Viet Nam,,2021,,136.38,42.99,,President's Report,True
2000002204,Signed,Tajikistan,,2021,,72.25,37.85,,Project Design Report,False
2000002585,Signed,Dominican Republic,,2021,,33.38,12.35,,Project Design Report,False
2000003305,Signed,Chad,,2021,,74.86,26.2,,Project Design Report,False
2000003433,Ongoing,Cambodia,,2022,,194.05,47.9,,Project Design Report,False
2000002987,Ongoing,Brazil,,2022,,37.04,0.0,,Project Design Report,False
2000003431,Ongoing,Kenya,,2021,,134.05,22.0,,Project Design Report,False
2000002666,Ongoing,Senegal,,2021,,230.0,20.0,,President's Report,True
2000003342,Ongoing,Nigeria,,2021,,491.18,49.97,,President's Report,False
2000003737,Ongoing,India,,2021,,378.05,105.0,,President's Report,True
2000002247,Ongoing,Haiti,,2021,,20.84,14.0,,Project Design Report,True
2000003549,Ongoing,Burundi,,2021,,64.44,53.7,,Project Design Report,True
2000002333,Ongoing,Pakistan,,2021,,178.12,84.19,,Project Design Report,False
2000002249,Ongoing,Mexico,,2021,,55.0,38.45,,President's Report,True
2000002284,Ongoing,Bolivia (Plurinational State of),,2021,,26.53,23.6,,No report,False
2000003959,Ongoing,Madagascar,,2021,,11.02,10.0,,No report,False
2000002350,Ongoing,Rwanda,,2021,,61.02,21.78,,Project Design Report,False
2000002340,Ongoing,Lesotho,,2021,,46.35,11.3,,President's Report,True
2000001040,Ongoing,Congo,,2021,,16.65,7.8,,President's Report,True
2000001530,Ongoing,Argentina,,2021,,36.1,13.1,,Project Design Report,False
2000003430,Ongoing,Côte d'Ivoire,,2021,,54.44,17.84,,No report,True
2000002869,Ongoing,South Sudan,,2021,,25.93,9.8,,Project Design Report,True
2000003444,Ongoing,India,,2021,,238.69,67.0,,No report,True
2000003459,Ongoing,Haiti,,2021,,5.8,5.0,,Project Design Report,True
2000002341,Ongoing,Zimbabwe,,2021,,67.44,35.7,,Project Design Report,False
2000003066,Ongoing,Benin,,2020,,60.32,32.5,,No report,False
2000001519,Ongoing,United Republic of Tanzania,,2020,,78.63,58.85,,President's Report,True
2000003067,Ongoing,Togo,,2020,,37.72,20.0,,No report,False
2000002359,Ongoing,China,,2020,,173.27,60.2,,President's Report,True
2000002442,Ongoing,Central African Republic,,2020,,39.86,22.19,,President's Report,True
2000002282,Ongoing,Ecuador,,2020,,31.23,23.47,,Project Design Report,False
2000003359,Ongoing,Burkina Faso,,2020,,9.5,6.0,,President's Report,True
2000003360,Ongoing,Chad,,2020,,7.0,5.0,,President's Report,True
2000003358,Ongoing,Senegal,,2020,,8.5,6.5,,President's Report,True
2000003362,Ongoing,Mali,,2020,,31.99,23.68,,President's Report,True
2000002081,Ongoing,Eritrea,,2020,,64.95,37.05,,President's Report,True
2000002980,Ongoing,India,,2020,,413.28,51.4,,Project Design Report,True
2000003387,Ongoing,Ghana,,2020,,41.56,20.0,,President's Report,True
