Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
Somalia - Horn of Africa Infrastructure Integration Project,P173119,Eastern and Southern Africa,Active,Eastern and Southern Africa,"Ministry of Public Works, Reconstruction and Housing",https://projects.worldbank.org/en/projects-operations/project-detail/P173119,2022-09-30T00:00:00Z,63000000,63000000,"5,000,000","Ministry of Finance, Federal Republic of Somalia",
SREP Food Security Additional Financing,P179060,Eastern and Southern Africa,Active,Republic of Mozambique,"National Sustainable Development Fund (FNDS), ProAzul Blue Economy Development Fund, BIOFUND",https://projects.worldbank.org/en/projects-operations/project-detail/P179060,2022-09-29T00:00:00Z,54000000,54000000,"4,000,000",Republic of Mozambique,
Niger Integrated Landscape Management Project,P177043,Western and Central Africa,Active,Republic of Niger,Ministry of Environment,https://projects.worldbank.org/en/projects-operations/project-detail/P177043,2022-09-01T00:00:00Z,150000000,150000000,,Republic of Niger,
Innovation for Resilient Food Systems (Alianzas Rurales - PAR III) Project,P175672,Latin America and Caribbean,Active,Plurinational State of Bolivia,Ministry of Rural Development and Land,https://projects.worldbank.org/en/projects-operations/project-detail/P175672,2022-08-05T00:00:00Z,351200000,351200000,,Plurinational State of Bolivia,
West Africa Food System Resilience Program (FSRP) Phase 2,P178132,Western and Central Africa,Active,Western and Central Africa,"Ministry of Agriculture and Forestry - Sierra Leone, Ministry of Agricultural Development - Chad, Ministry of Food and Agriculture - Ghana",https://projects.worldbank.org/en/projects-operations/project-detail/P178132,2022-07-29T00:00:00Z,315000000,315000000,,"Republic of Ghana, Republic of Chad, Republic of Sierra Leone",
Zambia Growth Opportunities Program,P178372,Eastern and Southern Africa,Active,Republic of Zambia,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P178372,2022-07-15T00:00:00Z,300000000,300000000,,Republic of Zambia,
Punjab Resilient and Inclusive Agriculture Transformation,P176786,South Asia,Active,Islamic Republic of Pakistan,"Government of Punjab, Agriculture Department",https://projects.worldbank.org/en/projects-operations/project-detail/P176786,2022-07-15T00:00:00Z,262000000,262000000,,Islamic Republic of Pakistan,
"First Nepal Green, Resilient and Inclusive Programmatic DPC",P177776,South Asia,Active,Nepal,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P177776,2022-07-14T00:00:00Z,0,0,,Nepal,
Romania Inclusive and Green Growth DPF,P178912,Europe and Central Asia,Active,Romania,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P178912,2022-06-30T00:00:00Z,0,0,"24,200,000",Romania,
"Forest Investment Project, phase 2",P175982,Western and Central Africa,Active,Republic of Cote d'Ivoire,Ministry of Environment and Sustainable Development,https://projects.worldbank.org/en/projects-operations/project-detail/P175982,2022-06-30T00:00:00Z,148000000,148000000,"8,000,000",Republic of Cote d'Ivoire,
Fiji Recovery and Resilience Second Development Policy Operation,P175543,East Asia and Pacific,Active,Republic of Fiji,Ministry of Economy,https://projects.worldbank.org/en/projects-operations/project-detail/P175543,2022-06-30T00:00:00Z,0,0,,Republic of Fiji,
Paraguay Green and Resilient DPL,P178285,Latin America and Caribbean,Active,Republic of Paraguay,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P178285,2022-06-30T00:00:00Z,0,0,,Republic of Paraguay,
Emergency Food Security and Resilience Support Project,P178926,Middle East and North Africa,Active,Arab Republic of Egypt,"Egyptian Holding Company for Silos and Storage (EHCSS), Ministry of Supply and Internal Trade, Ministry of Agriculture and Land Reclamation, General Authority for Supply Commodities (GASC)",https://projects.worldbank.org/en/projects-operations/project-detail/P178926,2022-06-28T00:00:00Z,500000000,500000000,,"Ministry of International Cooperation, Ministry of Finance",
Tunisia Emergency Food Security Response Project,P179010,Middle East and North Africa,Active,Republic of Tunisia,Office des Céréales,https://projects.worldbank.org/en/projects-operations/project-detail/P179010,2022-06-28T00:00:00Z,130000000,130000000,,Ministry of Economy,
Phase 2 of Improving Nutrition Outcomes Using the Multiphase Programmatic Approach,P175110,Eastern and Southern Africa,Active,Republic of Madagascar,"National Nutrition Office, Ministry of Public Health",https://projects.worldbank.org/en/projects-operations/project-detail/P175110,2022-06-27T00:00:00Z,85000000,85000000,,Republic of Madagascar,
Tajikistan Strengthening Water and Irrigation Management Project,P175356,Europe and Central Asia,Active,Republic of Tajikistan,"Agency for Land Reclamation and Irrigation (ALRI), Ministry of Energy and Water Resources (MEWR), FVWRMP PMU under the ALRI",https://projects.worldbank.org/en/projects-operations/project-detail/P175356,2022-06-23T00:00:00Z,47340000,47340000,,Ministry of Finance (MoF),
DRC Foundational Economic Governance Reforms DPF,P177460,Eastern and Southern Africa,Active,Democratic Republic of the Congo,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P177460,2022-06-23T00:00:00Z,0,0,,Ministry of Finance,
Additional Financing for the ACE II Project,P176744,Eastern and Southern Africa,Active,Eastern and Southern Africa,"Ministry of Education, Ministry of Education (MoE), Ministry of Education and Vocational Training, United Republic of Tanzania, Ministry of Science & Technology, Higher, Technical & Professional Education, Republic of Mozambique, Ministry of Education and Sports, Ministry of Education, Science and Technology, Republic of Malawi, Ministry of Education, Republic of Rwanda, Ministry of Education, Federal Democratic Republic of Ethiopia, Inter-University Council for East Africa",https://projects.worldbank.org/en/projects-operations/project-detail/P176744,2022-06-21T00:00:00Z,70000000,70000000,,"Ministry of Finance and Planning, United Republic of Tanzania, Ministry Of Finance and Economic Planning, Republic of Rwanda, Ministry of Economy and Finance, Republic of Mozambique, Ministry of Finance, Ministry of Finance, Republic of Zambia, Ministry of Finance, Planning and Economic Development, Republic of Uganda, Federal Democratic Republic of Ethiopia, National Treasury, Republic of Kenya",
Shire Valley Transformation Program - Phase 2,P176575,Eastern and Southern Africa,Active,Republic of Malawi,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P176575,2022-06-21T00:00:00Z,285000000,285000000,,Republic of Malawi,
